time,open,high,low,close,Account Equity,Daily High,Daily Low
2024-02-01T22:45:00+01:00,43060,43133,43033,43107,1000000,43738,42264
2024-02-01T23:00:00+01:00,43082,43098,42997,43044,1000000,43738,42264
2024-02-01T23:15:00+01:00,43049,43065,42961,42961,1000000,43738,42264
2024-02-01T23:30:00+01:00,42956,43074,42871,42891,1000000,43738,42264
2024-02-01T23:45:00+01:00,42890,42948,42880,42916,1000000,43738,42264
2024-02-02T00:00:00+01:00,42928,42959,42874,42920,1000000,43738,42264
2024-02-02T00:15:00+01:00,42926,42973,42912,42943,1000000,43738,42264
2024-02-02T00:30:00+01:00,42952,43049,42951,43033,1000000,43738,42264
2024-02-02T00:45:00+01:00,43035,43072,43035,43071,1000000,43263,41859
2024-02-02T01:00:00+01:00,43075,43144,43033,43144,1000000,43263,41859
2024-02-02T01:15:00+01:00,43142,43403,43142,43271,1000000,43263,41859
2024-02-02T01:30:00+01:00,43261,43278,43177,43184,1000000,43263,41859
2024-02-02T01:45:00+01:00,43184,43252,43154,43155,1000000,43263,41859
2024-02-02T02:00:00+01:00,43163,43281,43142,43264,1000000,43263,41859
2024-02-02T02:15:00+01:00,43253,43275,43198,43213,1000000,43263,41859
2024-02-02T02:30:00+01:00,43213,43213,43098,43135,1000000,43263,41859
2024-02-02T02:45:00+01:00,43122,43142,43098,43107,1000000,43263,41859
2024-02-02T03:00:00+01:00,43107,43185,43104,43156,1000000,43263,41859
2024-02-02T03:15:00+01:00,43159,43168,43020,43020,1000000,43263,41859
2024-02-02T03:30:00+01:00,43021,43119,43021,43085,1000000,43263,41859
2024-02-02T03:45:00+01:00,43088,43100,43041,43065,1000000,43263,41859
2024-02-02T04:00:00+01:00,43065,43099,43038,43038,1000000,43263,41859
2024-02-02T04:15:00+01:00,43039,43065,43028,43034,1000000,43263,41859
2024-02-02T04:30:00+01:00,43040,43047,43011,43014,1000000,43263,41859
2024-02-02T04:45:00+01:00,43012,43037,43012,43021,1000000,43263,41859
2024-02-02T05:00:00+01:00,43016,43033,42971,42994,1000000,43263,41859
2024-02-02T05:15:00+01:00,42992,43044,42984,43019,1000000,43263,41859
2024-02-02T05:30:00+01:00,43018,43018,42976,42976,1000000,43263,41859
2024-02-02T05:45:00+01:00,42975,42975,42929,42946,1000000,43263,41859
2024-02-02T06:00:00+01:00,42945,42960,42928,42959,1000000,43263,41859
2024-02-02T06:15:00+01:00,42964,42994,42949,42968,1000000,43263,41859
2024-02-02T06:30:00+01:00,42969,43000,42945,43000,1000000,43263,41859
2024-02-02T06:45:00+01:00,42994,43125,42994,43082,1000000,43263,41859
2024-02-02T07:00:00+01:00,43078,43140,43067,43091,1000000,43263,41859
2024-02-02T07:15:00+01:00,43087,43195,43087,43183,1000000,43263,41859
2024-02-02T07:30:00+01:00,43182,43194,43118,43173,1000000,43263,41859
2024-02-02T07:45:00+01:00,43183,43238,43131,43144,1000000,43263,41859
2024-02-02T08:00:00+01:00,43140,43227,43108,43149,1000000,43263,41859
2024-02-02T08:15:00+01:00,43149,43163,43075,43146,1000000,43263,41859
2024-02-02T08:30:00+01:00,43133,43187,43123,43187,1000000,43263,41859
2024-02-02T08:45:00+01:00,43176,43192,43072,43072,1000000,43263,41859
2024-02-02T09:00:00+01:00,43067,43090,43001,43001,1000000,43263,41859
2024-02-02T09:15:00+01:00,43001,43041,42970,43014,1000000,43263,41859
2024-02-02T09:30:00+01:00,43010,43037,42980,42981,1000000,43263,41859
2024-02-02T09:45:00+01:00,42981,43002,42934,42989,1000000,43263,41859
2024-02-02T10:00:00+01:00,42989,42990,42935,42958,1000000,43263,41859
2024-02-02T10:15:00+01:00,42957,43044,42938,43025,1000000,43263,41859
2024-02-02T10:30:00+01:00,43015,43021,42949,43012,1000000,43263,41859
2024-02-02T10:45:00+01:00,43012,43012,42945,42953,1000000,43263,41859
2024-02-02T11:00:00+01:00,42955,42979,42917,42949,1000000,43263,41859
2024-02-02T11:15:00+01:00,42945,43013,42945,43013,1000000,43263,41859
2024-02-02T11:30:00+01:00,42999,43092,42999,43053,1000000,43263,41859
2024-02-02T11:45:00+01:00,43045,43116,43036,43096,1000000,43263,41859
2024-02-02T12:00:00+01:00,43098,43098,43041,43052,1000000,43263,41859
2024-02-02T12:15:00+01:00,43053,43144,43030,43141,1000000,43263,41859
2024-02-02T12:30:00+01:00,43124,43170,43111,43150,1000000,43263,41859
2024-02-02T12:45:00+01:00,43141,43173,43111,43131,1000000,43263,41859
2024-02-02T13:00:00+01:00,43140,43158,43044,43151,1000000,43263,41859
