Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"03 Nov 2023"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;99.80;101.50;98.80;100.30;"02/11/2023 16:25";CET;79905;8005839.60;100.30;02/11/2023
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.852;1.944;1.852;1.93;"02/11/2023 16:25";CET;115890;219948.00;1.93;02/11/2023
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;117.00;117.00;115.00;115.00;"30/10/2023 10:54";CET;60;6902.00;115.00;02/11/2023
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;5.15;5.39;5.13;5.34;"02/11/2023 16:28";CET;432666;2278191.67;5.34;02/11/2023
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;13.15;13.40;13.00;13.20;"02/11/2023 16:25";CET;55928;734561.35;13.20;02/11/2023
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;99.35;101.30;98.25;98.30;"02/11/2023 16:25";CET;724928;71714139.85;98.30;02/11/2023
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;2.01;2.15;2.01;2.09;"02/11/2023 14:37";CET;3192;6571.28;2.09;02/11/2023
AEGA;NO0012958539;AEGA;"Euronext Expand Oslo";NOK;1.652;1.7998;1.641;1.778;"02/11/2023 15:43";CET;10013;16583.03;1.778;02/11/2023
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;119.80;122.00;118.80;122.00;"02/11/2023 16:25";CET;25430;3078440.20;122.00;02/11/2023
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;21.35;21.50;21.05;21.15;"02/11/2023 16:25";CET;61369;1304344.30;21.15;02/11/2023
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;2.65;2.70;2.62;2.62;"02/11/2023 16:25";CET;181235;481829.52;2.62;02/11/2023
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;10.10;10.90;10.10;10.38;"02/11/2023 16:25";CET;139043;1475453.08;10.38;02/11/2023
AKER;NO0010234552;AKER;"Oslo Børs";NOK;655.00;661.50;652.00;660.00;"02/11/2023 16:25";CET;33963;22347164.00;660.00;02/11/2023
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;39.00;39.20;38.45;39.20;"02/11/2023 16:25";CET;149020;5773723.00;39.20;02/11/2023
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;314.80;316.90;312.60;316.80;"02/11/2023 16:25";CET;895485;282516786.50;316.80;02/11/2023
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;10.80;11.47;10.78;11.45;"02/11/2023 16:25";CET;767341;8687825.32;11.45;02/11/2023
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;3.40;3.74;3.334;3.556;"02/11/2023 16:25";CET;10332197;36601603.03;3.556;02/11/2023
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;43.00;43.72;42.80;43.52;"02/11/2023 16:26";CET;584725;25301105.96;43.52;02/11/2023
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;5.64;6.18;5.50;5.90;"02/11/2023 16:25";CET;10568;60525.70;5.90;02/11/2023
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;78.20;78.20;75.00;75.40;"02/11/2023 13:16";CET;897;68043.80;75.40;02/11/2023
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;6.22;7.00;6.22;7.00;"02/11/2023 16:25";CET;10973;72646.06;7.00;02/11/2023
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;26.80;27.45;26.20;26.60;"02/11/2023 16:25";CET;1245855;33358454.30;26.60;02/11/2023
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;28.10;28.20;27.90;28.00;"02/11/2023 16:25";CET;4350;121853.20;28.00;02/11/2023
"AQUA BIO TECHNO";NO0010307135;ABTEC;"Euronext Expand Oslo";NOK;3.50;3.50;3.20;3.24;"02/11/2023 16:25";CET;58851;193062.39;3.24;02/11/2023
"AQUILA HOLDINGS";NO0010778095;AQUIL;"Euronext Expand Oslo";NOK;0.97;0.97;0.952;0.97;"02/11/2023 14:07";CET;92167;89283.37;0.97;02/11/2023
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;0.90;0.944;0.90;0.926;"02/11/2023 16:26";CET;10661523;9906258.97;0.926;02/11/2023
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;8.00;8.46;8.00;8.46;"02/11/2023 16:25";CET;4401;35259.98;8.46;02/11/2023
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;80.00;83.50;80.00;83.50;"02/11/2023 16:25";CET;1121;92139.00;83.50;02/11/2023
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;29.80;32.75;29.05;32.45;"02/11/2023 16:26";CET;103213;3253123.80;32.45;02/11/2023
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;129.80;133.00;128.00;132.60;"02/11/2023 16:25";CET;6768;891039.80;132.60;02/11/2023
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;3.44;3.44;3.33;3.40;"02/11/2023 16:25";CET;701202;2361277.36;3.40;02/11/2023
"ARRIBATEC GROUP";NO0012861667;ARR;"Oslo Børs";NOK;4.50;4.68;4.19;4.441;"02/11/2023 15:44";CET;296866;1326748.64;4.441;02/11/2023
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;7.08;7.78;6.80;6.80;"02/11/2023 16:25";CET;340042;2487377.74;6.80;02/11/2023
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;1.855;1.86;1.69;1.69;"02/11/2023 16:25";CET;55937;96643.20;1.69;02/11/2023
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;117.60;120.20;117.40;119.60;"02/11/2023 16:25";CET;35663;4245994.80;119.60;02/11/2023
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;1.38;1.428;1.34;1.398;"02/11/2023 16:25";CET;1653288;2308836.27;1.398;02/11/2023
"AURORA EIENDOM";NO0011032310;AURA;"Euronext Growth Oslo";NOK;75.00;76.50;70.00;76.50;"31/10/2023 16:25";CET;8305;584722.50;76.50;02/11/2023
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;208.00;208.00;206.00;206.00;"02/11/2023 15:35";CET;4000;826400.00;206.00;02/11/2023
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;76.20;77.05;75.90;76.75;"02/11/2023 16:25";CET;151894;11606119.15;76.75;02/11/2023
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;13.24;13.59;12.88;13.59;"02/11/2023 16:25";CET;1755924;23559395.46;13.59;02/11/2023
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;162.40;170.00;162.20;168.00;"02/11/2023 16:28";CET;285464;47518613.20;168.00;02/11/2023
