day_of_week,day_of_month,next_2_days
4,7,-4.742479736001949
5,8,-5.317504605158664
1,11,1.1241920826653868
2,12,3.871314495995088
3,13,-0.7940689432339103
4,14,-3.4120716249990237
5,15,-2.134469708728319
1,18,0.9239134772738888
2,19,1.199560041025675
3,20,-0.1615443176621924
4,21,-0.4849146291897313
5,22,0.7551207267265414
1,25,2.1115393150831627
2,26,2.087791131033215
3,27,1.4846170213970933
4,28,-0.47194627177848114
5,29,0.7837070567516955
1,2,2.634352012956304
2,3,0.5183953829706701
4,5,-0.10267175684633408
5,6,0.20629663118348873
1,9,-2.6207520325123563
2,10,-3.1909461116593087
3,11,0.05276158908002188
4,12,-0.5847884429879687
5,13,-0.8438810925003772
1,16,1.7647054023658872
2,17,1.0106411796180717
3,18,0.0
4,19,0.6845764596214088
5,20,0.3152888269966697
1,23,0.41840962444885654
2,24,0.7857496979115481
3,25,1.145829711523465
4,26,1.1954238304180673
5,27,0.05149448425617283
1,30,-0.2568014320691442
2,31,-0.5146699943339084
3,1,-0.30895708396842053
4,2,1.2933264406969984
5,3,0.6714832472530634
1,6,-1.6853928753417131
2,7,-0.9748616536115877
3,8,0.0
4,9,-0.05180477683130677
5,10,-0.6233809830306412
1,13,0.9331176220020813
2,14,2.5091556228051903
3,15,0.8731385839204528
4,16,0.8159094463650858
5,17,1.9348323825077092
1,20,1.1633765144704757
2,21,0.0
3,22,1.7000007629394531
4,23,1.7981952785786464
5,24,0.9832879126798174
1,27,0.981358052872118
2,28,0.34079694111066
3,29,1.4091395364549655
4,30,1.7467185460543704
5,31,0.9583078464225242
2,4,-0.14305569994830966
3,5,0.0949238635660015
4,6,-0.09551316740007894
5,7,-0.047416921808835735
1,10,1.1472264351955055
2,11,0.2846274485746505
3,12,-0.09452012243808193
4,13,0.8987726563069544
5,14,0.1892190949964307
1,17,-0.7032330945466372
2,18,0.188852727112267
3,19,0.849859785562866
4,20,0.9896371282591326
5,21,0.23407881850113832
1,24,-0.13999386942734685
2,25,-1.307803309860146
3,26,-1.2149543622267243
4,27,1.0885066669194152
5,28,0.5676482625262463
1,1,-0.79588048425223
2,2,0.0
3,3,0.14157045087686276
4,4,-0.7055485273537208
5,5,-0.18849674586717896
1,8,1.421123772556588
2,9,1.5580732717242323
3,10,1.1209704475881794
4,11,0.9762858309535811
1,15,0.6466572723504482
2,16,0.5524900691852977
3,17,0.7801659559553917
4,18,-0.13736578038417704
5,19,-0.04552969922604722
1,22,0.8253109105154379
2,23,-0.18223651087466747
3,24,-1.546158054237224
4,25,0.4107720365800046
5,26,0.5080859690058044
1,29,-1.4545440673828125
2,30,1.0569831793064597
3,31,1.2453895478000212
4,1,1.1368804120150648
5,2,1.3211799457809015
1,5,0.6744587233542578
3,7,1.3938825050931956
4,8,2.009829277384893
5,9,1.5964550888316993
1,12,0.3064785217012681
2,13,0.5237924052057714
3,14,2.0078611736579752
4,15,1.4763358334810983
5,16,0.8557931040167683
1,19,-0.6418550299197453
2,20,-0.21213083456902335
3,21,2.067189766491071
4,22,1.190470977242055
5,23,0.8860720578584934
1,26,1.6386609642817702
2,27,1.5474731978028238
3,28,-1.4055400788817558
5,30,-1.5238913870249864
1,3,-0.16771872070250568
2,4,-4.182350507661064
3,5,-6.0898735326092135
4,6,-2.6189453752331735
5,7,1.6994595277009115
1,10,0.9412864045195016
2,11,-1.1433607365821503
3,12,0.04440598880355885
4,13,-0.1779315346673348
5,14,0.7545498052057832
1,17,2.4064126351474195
2,18,1.629951187000991
3,19,1.5230652238545077
4,20,2.037283168272301
5,21,0.4714985456977597
1,24,0.4248023374337816
3,26,2.3037499824034073
4,27,3.0033883678194453
5,28,3.461217429317142
1,31,2.094456759310544
3,2,0.161229005999192
4,3,-2.4537433442280836
5,4,-2.736419697131463
1,7,1.1958800640302836
2,8,1.6963171126103522
3,9,0.0
4,10,0.04068441380339985
5,11,-1.2632492327857519
1,14,-0.12200360495870308
2,15,1.8984770966233082
3,16,0.8550529168882911
4,17,0.6885381636968603
5,18,1.2111394086249119
1,21,1.448104159953352
2,22,-0.039889226180966075
3,23,1.0309287706608328
4,24,1.1572263436057428
5,25,-0.47095343030070386
1,28,0.39447881642962246
2,29,1.4984193675905975
3,30,1.5324140587703186
4,31,-0.3885018739663434
5,1,-0.5417933003936786
1,4,-0.5850219270708421
2,5,-3.8521464944640136
3,6,-4.119259499759842
4,7,1.0926769233809304
5,8,2.0867439350958303
1,11,-0.520412982981838
3,13,-2.404811074639175
4,14,-1.8511106026553825
5,15,0.1231982703363897
1,18,0.8200113486855481
2,19,1.9688329208698292
3,20,1.3013407598150888
4,21,0.3620279580782274
1,25,1.3649143101990548
2,26,2.5651277357838316
3,27,2.2970294008160583
4,28,-0.39077913588685
5,1,-1.9744492078521918
1,4,-2.236169870311516
2,5,-0.6714063125707534
3,6,1.5650055716470026
4,7,-0.7952240899576918
