day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
1,27,3.366527410617426,3.034617989801717,5.5713609957557555,7.207213203852363,8.748227947359274,9.19867696382936,5.168330711580517,2.39450127923498,6.5908058594330505,7.776201815976829,8.108111236792537,7.32575279950674,9.31721655948374,8.558560253262625,10.810812570695802
2,28,-0.3210995175422878,2.13302472315797,3.715599130053039,5.206424818126433,5.642203234751291,1.7431206659439509,-0.940368372365969,3.1192674549347768,4.266056445760465,4.587155963302752,3.830278029135608,5.75688213383386,5.02293437992761,7.201833462496417,6.330276629246703
3,29,2.4620298065307757,4.04970222189172,5.54533036471595,5.982512571296919,2.0708697362181643,-0.621263729662292,3.4514495603636073,4.601932747151476,4.924066635053658,4.164750540570507,6.097560889975706,5.361248841634627,7.547166896531578,6.67280248336964,8.559590696506483
4,30,1.5495227045167799,3.009212841095453,3.435890125750518,-0.3817610006860116,-3.009205987832717,0.9656452792327636,2.088483845831743,2.4028772738269097,1.6618065611766777,3.548173982410416,2.829554558481975,4.962947835020035,4.109593265709906,5.95104440297459,4.962947835020035
5,1,1.4374170332892644,1.857583739435769,-1.9018146553207687,-4.489168014717544,-0.5749681630537553,0.5307372471687557,0.8403334122930092,0.11057054102225111,1.96815428045802,1.260500118439514,3.361340397862285,2.521006985569276,4.334359809120045,3.361340397862285,2.0344939055952715
1,4,0.41421274164405847,-3.2919131680119373,-5.842602484704287,-1.983868729309821,-0.8938316970580575,-0.5886226586391755,-1.3080444387021162,0.5232164448692348,-0.17440991699511707,1.8966604442832335,1.0682349609951165,2.8558917020531736,1.8966604442832335,0.5886160055811173,2.572484734890938
2,5,-3.690837988434461,-6.231005607190805,-2.388189286634063,-1.302648701800398,-0.9986986631697561,-1.7151527989144064,0.10855405848336648,-0.5861945660557475,1.4763325451282159,0.651324350900199,2.4316069346590568,1.4763325451282159,0.17368384332781794,2.149369032847872,1.1072527216531225
3,6,-2.637513986936468,1.3525698641671973,2.479711417639862,2.795309676706991,2.0513990032254656,3.9449954371543248,3.223622091121387,5.36519104271945,4.508566213890657,6.357074233870177,5.36519104271945,4.012621178552251,6.0640201817777175,4.981967042254394,2.7276839353090643
4,7,4.098173757157658,5.255849161338927,5.579996861331699,4.815933920928028,6.760827186774576,6.019912101742597,8.219495369687008,7.339664888865211,9.23824831218854,8.219495369687008,6.830284884669485,8.937255533457378,7.825889971799327,5.510539163436789,0.6251475446138524
5,8,1.1120996290308776,1.4234861676160309,0.6895031275426365,2.5578291467710184,1.846082669104272,3.959071964262939,3.1138789612864572,4.937718280266619,3.959071964262939,2.624552409425886,4.648575091805576,3.5809621630229183,1.356762904961163,-3.336298887092633,-4.915481717859971
1,11,0.3079616976876121,-0.4179484977947257,1.429828401392477,0.7259101954823378,2.8156593975174964,1.9797624019280449,3.78354189584779,2.8156593975174964,1.495817796232133,3.4975789007939064,2.4417083049902284,0.24197230284795593,-4.3994720042845445,-5.961285908417864,-2.7716687053115687
2,12,-0.7236815335457786,1.1184223911218476,0.41666532817639806,2.4999986615097316,1.6666680051569354,3.4649096037212166,2.4999986615097316,1.184209187825521,3.179824561403509,2.1271956594366777,-0.06578679670367325,-4.692981117650082,-6.25,-3.070175438596491,-3.8157881351939418
3,13,1.8555320675897935,1.1486594983953835,3.2471794329730326,2.407774155636543,4.219124159688026,3.2471794329730326,1.9217984216608328,3.931960970398287,2.871658857843098,0.6626905056560997,-3.9982340657057533,-5.566602944005807,-2.363598833334659,-3.1146467248309535,-2.7391261497010193
4,14,-0.693995264513802,1.3662953176266974,0.5421817321422366,2.3205338425111646,1.3662953176266974,0.06505916048532942,2.0386019891689404,0.9976157108275849,-1.1711112177413618,-5.747126360707709,-7.286923803677531,-4.142269757252557,-4.87963558928013,-4.5109559824810175,-3.3181561717680967
5,15,2.0746888243347796,1.2448159604736375,3.0355959995113455,2.0746888243347796,0.7643590405443925,2.751693878896198,1.7034327177366582,-0.48045025524732066,-5.088444661179901,-6.63900290493491,-3.472372594108141,-4.214891471986308,-3.843635365388187,-2.6424997302469992,-1.3103297837903873
1,18,-0.813005529009557,0.9413765412797259,0.0,-1.283697064259874,0.6632447890451165,-0.36371025067441953,-2.5032053577742097,-7.0175413395989485,-8.53658417148398,-5.434316266189285,-6.161743296759032,-5.798033046084612,-4.621310737179727,-3.3162174160046742,-1.155326051989705
2,19,1.768762204809415,0.8196694872605899,-0.4745496501438822,1.488350691467355,0.45297801463935317,-1.7040538810347672,-6.255392497454948,-7.786886459931362,-4.659190211203888,-5.392579739185301,-5.025888266564063,-3.8395207239432976,-2.5237299510342965,-0.3451264198556471,-2.8041414643763565
3,20,-0.9325972891748237,-2.204322629412193,-0.27553790305293513,-1.2929155879110026,-3.412457821639952,-7.8846932284739495,-9.389569508087417,-6.316233269180441,-7.03687633498237,-6.67655803624619,-5.510809807695268,-4.217887751454695,-2.077148801722542,-4.4934256545076305,-5.129288324626315
4,21,-1.283697064259874,0.6632447890451165,-0.36371025067441953,-2.5032053577742097,-7.0175413395989485,-8.53658417148398,-5.434316266189285,-6.161743296759032,-5.798033046084612,-4.621310737179727,-3.3162174160046742,-1.155326051989705,-3.5943491682392836,-4.236197700369221,-4.621310737179727
5,22,1.9722596930846996,0.931950231345601,-1.235366659049398,-5.808406620608096,-7.3472029356137964,-4.2045934445410476,-4.941479864450097,-4.573039961558698,-3.381015671841449,-2.058951045875249,0.13004033624895042,-2.3406995959760977,-2.9908946630945974,-3.381015671841449,-3.749455574732847
1,25,-1.020188691385494,-3.1455872036065355,-7.630179361633235,-9.139213602550477,-6.057385759829968,-6.780019956744819,-6.4187061013881515,-5.249736919666578,-3.9532425299714404,-1.8065887353878853,-4.22954174207957,-4.867161295745882,-5.249736919666578,-5.611050775023246,-4.1657823811935435
2,26,-2.1473050757736307,-6.6781200962669995,-8.202708010677286,-5.089115650805521,-5.819198065957547,-5.454160134909055,-4.273142343233558,-2.963284936400635,-0.7945054992582598,-3.2424319750291906,-3.8866234977612795,-4.273142343233558,-4.638180274282051,-3.178015443977998,1.352799576515371
3,27,-4.630240407790373,-6.188284277293275,-3.0063664340669654,-3.7524699682796676,-3.379421549601812,-2.1724871952745906,-0.8338859356493654,1.382485763486566,-1.1191586497475485,-1.7774864793805782,-2.1724871952745906,-2.545535613952446,-1.053328545527042,3.5769118622633314,3.906075777079846
