day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
2,20,0.8241819990835394,1.0275110979940763,2.0524808646219226,2.295590270518512,1.8135279473598787,1.7945639679647674,2.2227274765471825,1.6701064998559347,1.4827482567313939,2.315254527890095,1.8412905806851816,2.4528930346851068,2.624528907757239,2.5280712639012237,2.6298487614172137
3,21,0.2016669958327905,1.21825820074548,1.459380321526781,0.981258591599912,0.96244963226188,1.3871131406514712,0.8390095352125787,0.6531828422410019,1.478883834455616,1.008794280732064,1.6153972224801905,1.785630067090516,1.6899609111960583,1.7909064338851637,1.9207655504107555
4,22,1.0145452020822845,1.2551820377861547,0.7780225810011159,0.7592514767850409,1.183060302647441,0.6360598166558389,0.4506071205651589,1.2746462977267063,0.8055028514973114,1.4108849373795294,1.5807751694625998,1.4852985583814322,1.5860409169824157,1.715638677597509,2.1373903961485583
5,23,0.2382199862628393,-0.23414709298348954,-0.2527296685705229,0.16682260978162872,-0.3746840464106189,-0.558274138035223,0.25748875582628494,-0.2069428221121803,0.3923590751256233,0.5605430052152955,0.46602531878690645,0.565755865907072,0.6940520042065904,1.1115678359190673,1.2740851318809485
1,26,-0.4712444807091191,-0.4897828940903425,-0.0712276978691314,-0.6114474426595502,-0.794601225368146,0.01922297659125062,-0.4441048618341657,0.15377277138790774,0.3215570058971808,0.22726394438696815,0.32675747802496885,0.4547487156158806,0.8712723048912041,1.0334033722467033,1.2981968384221039
2,27,-0.018626188265390458,0.4019107651380767,-0.14086678891836096,-0.32488776029793026,0.4927897015705238,0.02726811837780211,0.6279765569618568,0.7965552090648189,0.7018156928132201,0.8017803041648779,0.9303775491752448,1.3488732764674363,1.5117719950433706,1.7778191939597459,1.0591966665890113
3,28,0.4206152980007458,-0.12226337365912786,-0.30631862751679306,0.5115111648684811,0.045902856595681274,0.6467232051089868,0.8153332628387361,0.7205760969390218,0.8205593313561559,0.949180533593801,1.3677542252098223,1.5306832912603379,1.796780053860683,1.078023649568916,-0.008410530650115156
4,29,-0.5406048051476954,-0.7238891370664717,0.0905151463153253,-0.37314294509458623,0.22516084614425036,0.3930646746852273,0.29870440252545216,0.3982688536298706,0.5263513214139588,0.9431718023220804,1.1054184342183495,1.3704006411194884,0.654654773441981,-0.42722883879740814,-0.3020965106698375
5,30,-0.18428056148913982,0.6345503612067865,0.16837208764946965,0.7699279186161584,0.9387443770432723,0.8438712160161893,0.9439768429500353,1.0727554943113875,1.4918415747078373,1.654970087181103,1.9213925869178132,1.2017563310615618,0.1139922137352341,0.23980469015580974,1.055913841838664
1,2,0.8203426547462277,0.35330371921614295,0.955970147260338,1.1250982759526424,1.0300499593540453,1.1303404020788648,1.2593568055930258,1.6792166059871092,1.8426462875952823,2.109560658633637,1.3885958046964109,0.2988234487535983,0.42486820115162055,1.2424840599298557,2.1054537700124563
2,3,-0.4632387901412258,0.1345239352920663,0.3022759228760347,0.20800098381528911,0.3074753955104155,0.4354420341043456,0.851885570536145,1.013985477464481,1.2787280522367062,0.5636294570988863,-0.5172757721906813,-0.3922566053449033,0.41870657653805865,1.2746545800454396,1.4261347573044034
3,4,0.6005446813494327,0.7690773777572331,0.6743636881466372,0.7743010484605809,0.902863236981193,1.3212448794718392,1.484099190741393,1.7500738633691812,1.0316472374212677,-0.05428846728850899,0.07131253210727534,0.8860498934859162,1.7459814334550932,1.8981665913984886,2.124392568058551
4,5,0.16752662417646433,0.07337833709650872,0.17271911167232604,0.3005138357742986,0.7163979085851001,0.8782800452926022,1.142666956387625,0.4285290476680274,-0.650924058823056,-0.5260728467410306,0.28380086115916825,1.1385989566297205,1.2898756305537429,1.5147511293660303,0.9234359450442998
5,6,-0.09399082741974378,0.005183803245280951,0.1327647952183102,0.54795331671508,0.7095647113089345,0.9735094447024117,0.26056590622510933,-0.8170818533538382,-0.6924394504816369,0.1160797724585524,0.9694482485293572,1.12047191759888,1.3449713201407925,0.7546450894250083,1.6420549740683268
1,9,0.09926793341700586,0.2269689526346212,0.642548080392154,0.8043115177792712,1.068504568407019,0.3548902979723497,-0.7237713045718882,-0.5990116390577842,0.21026823273004003,1.0644395514909304,1.2156053025006024,1.440315912404063,0.8494343071784564,1.7376790604148544,2.1758195828719797
2,10,0.1275743787682425,0.5427413788245901,0.7043443962359835,0.968275447963036,0.2553688651603088,-0.8222230341747901,-0.6975870921845946,0.11089022088240266,0.9642144623034878,1.1152303030089592,1.3397180685467966,0.7494224375950865,1.636786323040514,2.074492343776413,1.9367820089310868
3,11,0.4146380281677757,0.5760351442110271,0.8396299165448092,0.1276316610933149,-0.9485872586407471,-0.8241101175899554,-0.016662900294304627,0.8355741050615648,0.9863975337148947,1.2105992752737507,0.6210557508109424,1.5072890296564452,1.9444373611241788,1.8069024855419662,1.8386345390707641
4,12,0.16073066558082616,0.42323698688015693,-0.2858212435063016,-1.3575961767905969,-1.2336330340704351,-0.4295199753058852,0.41919792289218877,0.5693985625748431,0.792674517118407,0.20556537044455975,1.0881391627206436,1.5234823955918377,1.3865154371055346,1.418116460772917,1.7064114941471882
5,13,0.2620850702215757,-0.44583531501790513,-1.515890341735676,-1.3921261260631155,-0.589303449529991,0.2580524878301253,0.4080120964357654,0.630929753944718,0.044762757385854966,0.9259202593442256,1.360564885015667,1.2238177211559982,1.255368033795882,1.543200432240376,1.5091802994908237
1,16,-0.7060698814947518,-1.7733277845877562,-1.649887088550088,-0.8491629903320592,-0.004022041221889584,0.14554557299699622,0.3678805237940253,-0.21675423235364838,0.6620999240717096,1.0956083887790065,0.9592186819781816,0.990686522107166,1.2777665267199785,1.2438353225905956,0.9000543466057788
2,17,-1.0748470745585899,-0.950528603237791,-0.1441106305959778,0.7070400370244009,0.8576712126062114,1.0815871665136425,0.49279512711110873,1.3778987335213533,1.814489836512154,1.6771302752196897,1.7088218802265902,1.9979432839923477,1.9637707982332615,1.617545227773394,1.4835557124584562
3,18,0.12566922329096236,0.9408491333484174,1.8012477705503027,1.953515592360332,2.17986445034612,1.5846750349238377,2.479395518274857,2.920730295204496,2.78187828716566,2.8139142295622173,3.106177011287371,3.0716332327350737,2.7216458329472637,2.5862004872969777,2.1137285942035917
4,19,0.8141567655737876,1.6734755035920115,1.8255522117840497,2.051616975936593,1.4571745916415662,2.3507720979470643,2.791552949004763,2.652875216195626,2.684870949802274,2.976766908143762,2.9422664860039998,2.5927183606303745,2.457443014456929,1.9855641278951595,1.1979725765420624
5,20,0.8523790364248385,1.0032276008240497,1.2274667071216088,0.6378249312375914,1.52420590686129,1.9614270920591785,1.823869295358455,1.855606637248888,2.1451452970030362,2.110923493987824,1.7641982556004812,1.6300153684807628,1.1619472898486678,0.3807161843953855,0.6092316419209941
1,23,0.1495736301319468,0.3719175236920292,-0.21274074765232515,0.666148758071248,1.0996746593690023,0.9632794666973038,0.9947485725266967,1.2818401240800574,1.247907555168765,0.9041127516152306,0.7710639446344303,0.306951860116282,-0.4676764757915156,-0.24109237365241212,-0.8143707535918872
2,24,0.22201182241796974,-0.3617732603858661,0.5158036217379157,0.9486820510548827,0.8124905649329072,0.8439126715767291,1.1305754512043635,1.0966935606667059,0.7534122154827289,0.620562117216539,0.15714318521770013,-0.6163282413992731,-0.3900825431640374,-0.9625047304582959,-0.12326129468004253
3,25,-0.5824918819612569,0.2931409916621028,0.7250605085881634,0.5891707138759086,0.6205232142622492,0.9065509784380156,0.8727441430716567,0.5302232347982998,0.39766742609872485,-0.06472494018101481,-0.8364829727252795,-0.6107384540100521,-1.1818926115503394,-0.34450826801381423,-0.49908793219780156
4,26,0.8807632480425056,1.3152134018456376,1.178527422399329,1.2100636185682327,1.4977672329418343,1.4637623217281879,1.119234567253915,0.9859021078020135,0.520800562779642,-0.2554792365771812,-0.02841207005033557,-0.6029126468120806,0.23937797119686802,0.08389261744966443,-0.8279589625279643
5,27,0.43065708447795875,0.29516447414725633,0.3264253361327704,0.6116170863837127,0.5779090630512204,0.23638928922956648,0.10422092019763535,-0.3568199463140444,-1.1263222521680658,-0.9012375489838326,-1.470722313238818,-0.6357855117220111,-0.7899133639914284,-1.6938038091257464,-3.362778675912461
1,30,-0.13491160395050675,-0.10378479178674803,0.18018402662997435,0.1466205468011621,-0.19343475477311928,-0.32503637211667286,-0.7841002475266207,-1.5503028476019631,-1.326183330993701,-1.893226085454582,-1.0618695796273883,-1.215336515664431,-2.1153509847264065,-3.7771691140082297,-3.85533655016592
2,31,0.031168862576193404,0.3155213054344483,0.28191248340476693,-0.05860221200678136,-0.1903816150566659,-0.6500656575814884,-1.4173033503342365,-1.1928810620171835,-1.7606898564299787,-0.928210238998347,-1.0818844994450172,-1.9831148328050174,-3.647177976364566,-3.7254510119299984,-2.8089547375645467
3,1,0.2842638410522835,0.2506654912460811,-0.08974310267862924,-0.2214814443858269,-0.6810222532674476,-1.4480208812718718,-1.223668521033668,-1.7913003910489593,-0.9590801671952318,-1.11270654404762,-2.013656061690585,-3.677200697308765,-3.755449343661147,-2.839238641750283,-1.6602204172627957
4,2,-0.033503112571534474,-0.3729467908581382,-0.5043117096015207,-0.9625499129650911,-1.727374421444403,-1.5036580060815736,-2.0696808777406526,-1.2398196492903217,-1.3930105597764193,-2.291406263284743,-3.9502354473478087,-4.02826229159568,-3.1146486628781855,-1.9389724607212868,-1.7957044123588495
5,3,-0.33955744059817233,-0.4709663854282703,-0.9293581643055366,-1.6944389986780515,-1.470647606233086,-2.036860176727052,-1.2067208257554642,-1.3599630771655589,-2.258659872072757,-3.918045001803832,-3.9960979962342926,-3.082178175930588,-1.9061079536431964,-1.762791889938603,-2.0355359673043005
2,7,-0.13185667397751394,-0.5918102594776441,-1.35949783413044,-1.1349439522714704,-1.70308569031009,-0.8701179353487477,-1.0238823051173807,-1.9256410890717435,-3.5906799822534703,-3.668998914445587,-2.7519652380609267,-1.5718879756241235,-1.4280836135080603,-1.7017569691156582,-3.7035132576668026
3,8,-0.4605608657393361,-1.2292620241724685,-1.00441166210465,-1.5733035220282936,-0.7392359933649294,-0.8932033794078085,-1.7961527623862674,-3.4633900191620923,-3.5418123564397987,-2.6235679134736607,-1.4419325859955012,-1.297938357879525,-1.5719730465130994,-3.5763722692125266,-3.4250658342000353
4,9,-0.772257875992544,-0.5463671496398104,-1.1178912257965101,-0.27996453471041877,-0.4346443152898583,-1.341771571412473,-3.016722998983834,-3.0955081900194483,-2.173015104914164,-0.9859124471582291,-0.8412519694939393,-1.11655459427963,-3.130228008689626,-2.978221491143947,-4.133723137102424
5,10,0.22764876184568641,-0.348323303952658,0.4961247033787119,0.34024109939008923,-0.5739460389093536,-2.261933079346222,-2.3413314304012673,-1.4116588757719162,-0.21531737656458558,-0.06953105253082517,-0.3469762698588965,-2.3763214623489732,-2.2231319265478735,-3.3876264733596084,-2.277407544179433
1,13,-0.5746638506575478,0.2678661475646908,0.11233660465480669,-0.799774124862229,-2.48392721164944,-2.563145223880483,-1.6355842503227995,-0.44196002189258055,-0.29650482481400975,-0.5733198761052142,-2.598055782374025,-2.445214188568808,-3.6070637991275967,-2.4993665290677107,-3.765499823589682
2,14,0.8473996979569786,0.6909712171155661,-0.22641137855098914,-1.9202986230029653,-1.999974503718171,-1.067052363867988,0.1334708374187828,0.27976674418855113,0.0013517425279959065,-2.0350868401161137,-1.881361844330693,-3.0499267751181787,-1.9358271774099427,-3.2092785365485903,-2.190603169495545
3,15,-0.15511404489349614,-1.0647880656557192,-2.7444419283485137,-2.823448309230757,-1.8983653198385348,-0.7079298650004349,-0.5628632522687909,-0.8389387906509624,-2.8582656039781726,-2.7058323273187503,-3.8645780503491864,-2.759839999546667,-4.022590812113672,-3.0124751620284655,-2.6145554381781064
4,16,-0.9110872450405141,-2.5933505343671417,-2.6724796556300645,-1.7459595033528916,-0.5536746472478346,-0.40838266624755515,-0.6848871018440905,-2.7073510407935175,-2.554680951383068,-3.715226844090528,-2.6087725272422464,-3.8734850866163733,-2.8618001711371894,-2.463262259010897,-1.653875034925957
5,17,-1.6977311008414802,-1.7775877861788234,-0.8425486112426759,0.3606988792747559,0.5073267682693371,0.22827997291261234,-1.8127798013033491,-1.658705964820762,-2.8299226634815047,-1.7132948934458478,-2.9896360341561916,-1.9686490363666245,-1.566446710146888,-0.7496174589404461,-0.9395552081759148
1,20,-0.08123585165593962,0.8699519341471933,2.0939801320637232,2.2431403606490847,1.9592742826005916,-0.11703565110983301,0.03969912033337849,-1.1517450973603278,-0.01583258736411623,-1.314216800672207,-0.2755968285971711,0.13355174012236473,0.964488055584595,0.7712699830390747,0.07939824066675698
2,21,0.9519611195260134,2.1769844755988332,2.326265974281014,2.0421691077234447,-0.03582890537030996,0.12103329441682485,-1.071379590038824,0.06545643838701072,-1.2339833859291196,-0.19451899610434947,0.21496221816697078,1.0465741006243874,0.8531989381187145,0.1607646908885019,-0.08130189794514779
3,22,1.2134715784494825,1.3613453760723266,1.079927498294597,-0.9784753202830707,-0.8230923063746916,-2.0042609248266356,-0.878145081391129,-2.1653313924897395,-1.1356689884141458,-0.7300491176059907,0.0937207955636972,-0.09783086956613504,-0.7837355707243205,-1.0235195096881664,-0.724361663851266
4,23,0.14610090466883047,-0.13194298947781546,-2.165667143462813,-2.0121470522287686,-3.179154368578384,-2.066539786869598,-3.338293725376614,-2.320976180569831,-1.9202193796396667,-1.1063258333332417,-1.2955809415145303,-1.9732621735297253,-2.2101712877260424,-1.914600114075481,-0.24095893644863076
5,24,-0.27763826213396137,-2.3083954614790887,-2.155099337269337,-3.3204041327705753,-2.209412719567273,-3.479311324723778,-2.4634779217087277,-2.0633057759038174,-1.2505996006717062,-1.4395786088124667,-2.116271186849323,-2.352834679642553,-2.0576947081603665,-0.38649516818024854,0.35664253432641924
1,27,-2.036411055609826,-1.8826881377624611,-3.051237272774328,-1.9371527346205926,-3.2105868802083286,-2.191925282837311,-1.7906390128061038,-0.975670172248134,-1.1651753191855059,-1.843751885408071,-2.0809739975508514,-1.7850123232194686,-0.10915997590633934,0.6360467054798351,0.975670172248134
2,28,0.1569184219400403,-1.0359218441257563,0.10132164619405519,-1.1985839200573107,-0.158746968034995,0.2508810114574679,1.0827909581424484,0.8893464866001226,0.19666405883835048,-0.045489290889824376,0.2566246654489821,1.967313672835635,2.728011284485201,3.074694649629254,3.836760866331486
3,29,-1.190971412519514,-0.05550967084646871,-1.3533786415900946,-0.3151708288839353,0.0938153759100125,0.9244219478697435,0.7312805507598754,0.03968336638600457,-0.20209059545658495,0.09955003117098749,1.8075588580598898,2.5670646651823765,2.9132048725752884,3.6740771405216788,4.053942049068488
4,30,1.1491477630181997,-0.16436476645126946,0.8863568402154562,1.300272664144291,2.1408907572817557,1.9454213757172254,1.2454881871609127,1.0008000596700781,1.306076440725191,3.0346723507403555,3.8033326826755682,4.153645009738329,4.923688272811959,5.308131793790912,5.6236214613682725
5,1,-1.2985898136748424,-0.25980537514605156,0.14940798263586075,0.980475877648624,0.7872272088387844,0.09524590792245578,-0.14666233639030224,0.15514582295310952,1.8641032865049356,2.62403092695931,2.970363382358248,3.7316582425757168,4.1117341299965995,4.423639543492045,4.311639590111998
1,4,1.0524514660609297,1.4670487418338019,2.309050789670709,2.113259596368575,1.4121740702245922,1.1670830995321857,1.4728620734836912,3.204303863753673,3.9742296824626546,4.325118747517696,5.096429774158878,5.481506225147156,5.7975153003028606,5.684041791496231,6.185850396180823
2,5,0.4102792854185405,1.2435119637169967,1.049759916674485,0.3559761281837656,0.11343775614365562,0.4160320717839874,2.129441063995816,2.8913481800914265,3.2385827696183216,4.0018606668400745,4.382926583996579,4.695644455330793,4.583352762095879,5.079935078906993,5.271159046003752
3,6,0.8298280656405437,0.6368676950277232,-0.05408127297447001,-0.2956286262595744,0.005729280315110418,1.7121372341675478,2.4709311759012147,2.816746954921083,3.576906076729834,3.9564149476028225,4.267855044732027,4.15602217858122,4.65057544578165,4.841018066255994,4.3114065271273585
4,7,-0.1913723094789,-0.8766347772006373,-1.1161941991683673,-0.8173164639227017,0.8750477764899274,1.6275968547643536,1.9705665747907934,2.724469597727504,3.100855115935396,3.409732065449241,3.2988195822126296,3.7893026829856207,3.978177963374243,3.4529251197575155,4.4697930506681605
5,8,-0.6865763848056766,-0.9265951362011347,-0.6271443350415369,1.0684648317934002,1.822456841991028,2.166084169570257,2.921432720473446,3.2985399174333714,3.6080091052791223,3.496883959284209,3.988307508652951,4.17754493707875,3.65128497762375,4.670102643430829,4.8741397085705795
1,11,-0.24167805585421034,0.059842917100933674,1.7671742174544938,2.526378746662036,2.8723816484557223,3.6329520964446145,4.012666321604233,4.324274940641312,4.212381561126489,4.707202433753778,4.897748103752056,4.3678499889774836,5.393710974048998,5.599158594030689,5.789245225749987
2,12,0.3022514483793785,2.0137189902146218,2.77476279529448,3.12160393601396,3.884016968998548,4.2646511033339465,4.577014636485142,4.464850180092751,4.960869823350521,5.1518771160603585,4.62069525128194,5.64904152363192,5.854986868318771,6.0455340106671835,6.435820079412974
3,13,1.7063101945583459,2.4650606653506486,2.810856632750226,3.570972205407101,3.950459334398709,4.261881589273969,4.150055129974482,4.6445800644551865,4.83501177456305,4.305430576625741,5.330678023717414,5.536002771380573,5.725975717747063,6.115085695947952,6.800724891468807
4,14,0.7460210377712619,1.08601564256824,1.833378880112516,2.2064994153729844,2.5126969898199647,2.4027466248076363,2.8889749950382617,3.0762118633737447,2.555515362906615,3.5635624006277093,3.7654424484540283,3.9522282496526784,4.334810193149148,5.008946531601763,5.448087893402054
