day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
3,2,1.0432259218406603,-0.7451564998065363,-2.5335275512678836,-1.63934202553721,-4.321909972915081,-4.768997050687493,-4.918031761704555,-3.427713076998557,-1.9374000773854851,-1.63934202553721,-3.427713076998557,-5.514153550494029,-7.004466550107101,-8.047686786854836,-7.1535012611241635
4,3,-1.7699181764352545,-3.539825100076722,-2.654871638255988,-5.309743276511976,-5.752214381025449,-5.8997103755935,-4.424778561897455,-2.9498523745983034,-2.654871638255988,-4.424778561897455,-6.489677474675025,-7.964603661974176,-8.997053118362961,-8.112099656542227,-7.964603661974176
5,4,-1.8017972608640118,-0.9008986304320059,-3.6036059772756297,-4.05404956471783,-4.204203154972366,-2.7026958912960177,-1.2011943553934723,-0.9008986304320059,-2.7026958912960177,-4.804800332669103,-6.306301868571648,-7.35735408925819,-6.456455458826184,-6.306301868571648,-6.906904774042187
1,7,0.9174288381074015,-1.8348693419554043,-2.2935779281388045,-2.4464866230702387,-0.9174288381074015,0.6116231139851348,0.9174288381074015,-0.9174288381074015,-3.058103904185073,-4.587155856277609,-5.6574933893164445,-4.740064551209043,-4.587155856277609,-5.198778970262744,-6.727830922355281
2,8,-2.7272773511482007,-3.1818158698804453,-3.3333344893022017,-1.8181771943063447,-0.30302567915482953,0.0,-1.8181771943063447,-3.9393916274562026,-5.454543142607718,-6.5151503591826465,-5.606061762029475,-5.454543142607718,-6.0606060606060606,-7.575757575757576,-5.151517463452889
3,9,-0.467282611563263,-0.6230494239806855,0.9345889907118654,2.492221463508081,2.8037432045502566,0.9345889907118654,-1.246098847961371,-2.803731320757587,-3.8940752400942054,-2.9594981331750096,-2.803731320757587,-3.4267866866346073,-4.984419159430823,-2.4922095797154116,-2.9594981331750096
4,10,-0.15649810083002796,1.4084530585095745,2.9733982480570416,3.2863825101328263,1.4084530585095745,-0.7824725947737335,-2.3474177843212005,-3.4428806109628547,-2.503915885151229,-2.3474177843212005,-2.9733982480570416,-4.538343437604508,-2.0344335222454153,-2.503915885151229,-4.068861074698696
5,11,1.5674041170150625,3.134802254880735,3.4482770991343568,1.5674041170150625,-0.6269556676566345,-2.1943538055223066,-3.291533697858155,-2.3510972067985083,-2.1943538055223066,-2.8213154523283315,-4.388713590194004,-1.8808789612686845,-2.3510972067985083,-3.91849534466418,-3.91849534466418
1,14,1.543209803865701,1.851847055136266,0.0,-2.160496080163269,-3.7037058840289703,-4.783953924110604,-3.8580303965424716,-3.7037058840289703,-4.320992160326538,-5.864201964192239,-3.395068632758405,-3.8580303965424716,-5.401240200408173,-5.401240200408173,-5.864201964192239
2,15,0.3039467157545135,-1.5197567684205229,-3.6474185631740506,-5.167175331594573,-6.231006228971337,-5.319154486883819,-5.167175331594573,-5.775080357927578,-7.294837126348101,-4.86322861584006,-5.319154486883819,-6.838911255304342,-6.838911255304342,-7.294837126348101,-4.86322861584006
