100000;100000;100000;100000;100091,7989;99684,09838;99577,41796;99607,93838;98612,35565;100434,369;100383,0809;100543,233;100753,8328;99893,27415;100273,2791;100031,8716;100651,64;99501,16664;99213,06051;100974,3513;102137,0953;102992,0807;103141,0402;103272,5116;103400,1906;102779,5806;103252,2896;103011,1779;103287,8505;102886,4593;102750,7527;103179,298;102869,6608;102845,9478;101984,0775;102801,689;103383,1949;103374,9877;104355,5692;104229,4054;104598,6416;105636,6524;104809,1828;104557,0745;104036,0925;104649,0238;106637,9048;106259,6037;107619,0746;107183,8225;107286,4437;106315,5429;106927,6749;106870,4852;107577,713;106227,9334;106495,7638;107711,9637;108059,3031;108494,7852;108790,8468;109949,0821;109975,3896;109920,924;109763,8877;110383,4199;110832,2877;111253,1998;111783,2398;110711,0687;111405,6699;111450,5928;112490,0033;112678,1529;112860,3122;112128,4911;111873,1312;111565,1709;110440,1129;109960,4322;110310,1716;110855,5015;109989,7719;109312,3027;110811,0439;110485,0927;108840,0708;108807,2815;109074,9717;109191,4115;105802,5444;106898,5481;108732,2965;109639,3802;108638,3422;107935,11;108037,0422;108238,8265;106977,8973;107252,2261;107848,1757;107379,9967;108003,0568;106219,1086;100887,3291;103614,4089;104909,963;105338,4219;107671,0426;108899,7346;108547,4144;108420,0648;108603,9161;108623,5227;108982,4819;109012,8732;110940,1838;112460,5739;112358,2097;112763,9291;111129,5304;111332,2765;111565,4159;111957,2447;112605,3579;112770,3817;113609,7481;112837,4509;112081,4209;113151,8805;114170,3189;115226,1646;115974,5524;116006,002;115427,0701;114524,6432;114585,3102;113748,5643;114944,0529;115480,3487;116033,4473;113322,6412;113531,6066;112027,3864;111727,1056;109816,5737;109907,4427;107628,1519;103390,5118;105427,4279;105770,939;107480,392;106420,711;104845,1407;107017,4499;105616,1207;106619,2694;107385,2402;108232,3199;108157,3211;109544,8905;109138,9787;106333,2512;108177,529;107287,1225;107371,0173;109072,4682;109082,2486;107996,9059;109814,0677;111056,2172;110847,9623;110193,8875;108561,9769;109807,6602;111132,3444;110179,6067;109718,5212;110411,8636;109809,8757;109392,1337;108143,1858;108908,378;108211,8548;110309,283;110149,242;109125,883;110237,2878;109815,2864;108348,4225;110560,1085;112381,4899;112704,971;111150,5103;112145,3569;112487,2535;113442,8961;113620,985;113620,985;113477,4552;113409,1253;112405,2859;112893,8498;111802,9796;112185,565;118172,3242;119536,4321;120103,6888;119521,6381;119792,9584;120032,4675;121382,9317;121373,3476;120832,4519;121339,3233;121659,6033;122081,8647;122495,4635;122704,9597;122552,6009;122731,3285;122157,7743;123152,1338;123986,3274;124460,8381;124173,4386;124017,2445;127205,9102;126170,4771;127459,4876;127119,4786;126101,7425;125433,6069;125516,3287;125197,6882;126493,9439;126761,1986;126982,9442;128037,5639;129319,3296;130577,3301;133415,208;133154,7514;134493,7378;135814,3505;135708,3682;136181,3881;136711,5208;137750,7734;137262,0425;136128,8102;137037,4969;139001,3309;138072,0795;138514,2022;138758,7752;139359,9736;139741,4536;139777,1348;145006,9089;144792,0031;143322,0915;143981,5753;144215,883;146566,5927;148476,8263;148796,9869;147530,1606;144016,9995;147225,1953;147890,3634;152236,2198;150857,0007;151792,2686;155157,0322;156110,3838;157266,8803;156792,9448;159830,7476;159759,3525;160360,1363;162437,8505;163445,589;166182,4341;167169,4253;166130,7159;161328,8374;153033,5301;146862,8824;148040,6307;139318,9161;141869,8947;149987,229;146724,8399;150837,4132;149263,8082;147174,3397;133423,8456;142663,4975;138889,8948;124871,8042;135995,2632;119653,1328;123358,0427;117695,2242;122588,0275;119321,1964;120012,3772;128608,5465;128417,1265;131069,6141;128192,2605;130112,872;131125,6875;126062,5156;127297,1458;125347,1533;134530,2702;133297,9808;137094,2114;137094,2114;137991,2109;140725,9202;141763,8372;145726,3893;145416,9887;143990,7991;139628,2006;145499,3017;144747,287;148247,6204;152099,3532;149954,3079;153586,411;153419,8729;150574,5892;153188,8358;155003,3361;156146,4953;158379,0348;160794,6907;160858,0323;158891,5925;155730,2719;159462,3119;159240,4854;161111,7648;160264,7739;162754,5549;161590,5466;163865,004;161797,9554;160817,6654;160719,443;163927,1335;167664,9119;167187,2184;167041,7951;164999,282;168764,8519;168457,2349;169470,3608;172326,695;164825,7232;168385,8986;167950,1678;169595,787;170553,6657;171608,6659;172537,6736;174782,0852;176490,3448;171241,6436;175723,8857;172020,1312;173412,917;179081,8767;180293,1829;180633,6342;183578,2087;183406,2387;186927,3785;189713,2283;194208,1397;188054,1931;188714,5649;188478,6646;185547,9468;185571,3338;191534,0788;188288,4869;189131,0961;183397,6311;183568,8551;189600,5781;186281,9008;188869,3997;189751,8282;189350,4259;191338,7204;192333,7505;194952,8018;195692,6454;193035,4587;192203,1571;186905,3373;198129,8308;200753,227;201106,1983;207149,5757;206758,6553;205325,9394;206432,5745;209060,8281;210379,2767;209953,0326;215483,7752;217267,9553;218787,6541;228455,6385;231866,9668;234629,7385;220097,5152;213667,7602;203097,6299;212788,3507;208294,4287;204359,6329;209452,6237;210668,2087;209278,2887;205618,0343;201932,3092;206906,8596;211157,3321;199720,2704;202080,7943;209382,3754;213057,9609;212987,5296;215538,3928;215867,0782;206593,2799;213176,8336;209167,616;212868,7326;212031,7529;214517,5642;223374,4456;224017,6831;222903,6893;220300,0072;217791,5489;213207,9192;213318,7776;216149,9438;213099,7877;213437,0137;209967,868;211931,9189;202920,951;207405,3637;199335,2174;201732,9786;205150,7422;212416,665;218929,3561;216946,9785;216384,0264;211277,1755;218987,7615;218356,9061;217223,315;219518,8607;222342,5186;226431,8402;226915,3412;226044,3031;226550,384;228366,0656;231930,4462;232863,0235;232391,5503;236632,267;234796,1603;237759,9506;238141,3058;243333,8197;243034,6622;233777,711;238127,1874;237176,5377;240135,8562;243698,4656;242715,302;246427,0279;249153,3725;250557,0419;250885,3365;250234,4638;251527,4117;250491,6759;249071,9334;254260,0138;254582,3789
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;100091,7989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;99684,09838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;99577,41796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;99607,93838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
